mouse_ID;genotype;birthday;cage;cage_ID;cohort;treatment;history
2874;mutant;13.03.2021;1;1-1;1;saline;
2876;control;13.03.2021;1;1-2;1;NA;killed
2873;mutant;13.03.2021;2;2-2;1;L-DOPA;
2875;control;13.03.2021;2;2-3;1;saline;
2892;control;15.03.2021;3;3-1;1;saline;
2890;mutant;15.03.2021;3;3-2;1;L-DOPA;
2893;control;15.03.2021;3;3-3;1;L-DOPA;
2891;mutant;15.03.2021;3;3-4;1;saline;
2880;control;13.03.2021;4;4-1;1;saline;
2882;control;13.03.2021;4;4-2;1;L-DOPA;
2897;mutant;27.03.2021;5;5-1;1;saline;
2896;control;27.03.2021;5;5-2;1;L-DOPA;
2895;mutant;27.03.2021;5;5-3;1;L-DOPA;
2877;mutant;13.03.2021;2;2-1;1;NA;killed
3299;mutant;16.06.2021;6;6-1;2;L-DOPA;
3300;control;16.06.2021;6;6-2;2;saline;
3303;mutant;20.06.2021;7;7-1;2;NA;killed
3306;control;20.06.2021;7;7-2;2;NA;killed
3307;control;20.06.2021;8;8-1;2;L-DOPA;
3308;control;20.06.2021;8;8-2;2;saline;
3254;control;10.06.2021;9;9-1;2;NA;killed
3255;mutant;10.06.2021;9;9-2;2;NA;killed
3275;control;20.06.2021;10;10-1;2;saline;
3276;control;20.06.2021;10;10-2;2;L-DOPA;
3277;mutant;20.06.2021;10;10-3;2;saline;
3278;control;20.06.2021;10;10-4;2;L-DOPA;
3280;control;12.06.2021;11;11-1;2;saline;
3281;mutant;12.06.2021;11;11-2;2;L-DOPA;
3282;mutant;12.06.2021;11;11-3;2;saline;
3283;control;12.06.2021;11;11-4;2;L-DOPA;
